MTF,Perception
0.040,0.8
0.040,0.82
0.040,0.8
0.040,0.8
0.040,0.82
0.040,0.82
0.040,0.8
0.040,0.82
0.040,0.8
0.040,0.82
0.040,0.82
0.040,0.83
0.040,0.82
0.040,0.82
0.040,0.83
0.040,0.82
0.040,0.82
0.040,0.82
0.040,0.82
0.040,0.82
0.041,0.83
0.041,0.84
0.041,0.84
0.041,0.84
0.041,0.83
0.041,0.84
0.041,0.82
0.041,0.84
0.041,0.84
0.041,0.84
0.041,0.84
0.041,0.84
0.041,0.84
0.041,0.84
0.041,0.84
0.041,0.85
0.041,0.84
0.041,0.84
0.041,0.84
0.041,0.84
0.041,0.84
0.041,0.84
0.041,0.84
0.041,0.84
0.041,0.82
0.041,0.83
0.041,0.84
0.041,0.84
0.041,0.82
0.041,0.83
0.041,0.83
0.041,0.83
0.041,0.83
0.041,0.83
0.041,0.83
0.041,0.81
0.041,0.83
0.041,0.83
0.041,0.81
0.041,0.83
0.041,0.82
0.041,0.83
0.041,0.83
0.041,0.83
0.041,0.79
0.041,0.82
0.041,0.82
0.041,0.83
0.041,0.8
0.041,0.82
0.041,0.82
0.041,0.81
0.041,0.81
0.041,0.8
0.041,0.81
0.041,0.82
0.041,0.82
0.041,0.82
0.041,0.79
0.041,0.81
0.041,0.8
0.041,0.79
0.041,0.8
0.041,0.78
0.061,0.85
0.061,0.85
0.061,0.84
0.061,0.84
0.061,0.84
0.061,0.84
0.061,0.84
0.061,0.83
0.061,0.84
0.061,0.83
0.061,0.84
0.061,0.84
0.061,0.84
0.061,0.84
0.061,0.84
0.061,0.84
0.082,0.83
0.082,0.83
0.082,0.82
0.082,0.82
0.082,0.83
0.082,0.82
0.082,0.83
0.082,0.82
0.082,0.83
0.082,0.84
0.082,0.84
0.082,0.83
0.082,0.83
0.082,0.83
0.082,0.82
0.082,0.82
0.082,0.83
0.082,0.8
0.082,0.83
0.082,0.83
0.204,0.84
0.204,0.81
0.224,0.81
0.245,0.84
0.245,0.79
0.245,0.82
0.245,0.84
0.245,0.84
0.245,0.82
0.245,0.83
0.245,0.83
0.245,0.84
0.245,0.84
0.265,0.82
0.265,0.85
0.265,0.84
0.265,0.84
0.265,0.83
0.265,0.78
0.265,0.78
0.309,0.85
0.309,0.84
0.312,0.85
0.313,0.85
0.315,0.84
0.315,0.84
0.316,0.77
0.316,0.85
0.317,0.85
0.317,0.84
0.319,0.84
0.319,0.84
0.320,0.84
0.321,0.85
0.321,0.85
0.322,0.84
0.323,0.84
0.323,0.85
0.326,0.83
0.326,0.83
0.329,0.84
0.505,0.85
0.509,0.85
0.515,0.84
0.517,0.83
0.522,0.84
0.523,0.85
0.524,0.84
0.527,0.84
0.529,0.84
0.531,0.85
0.537,0.84
0.541,0.69
0.542,0.85
0.542,0.85
0.546,0.84
0.550,0.81
0.551,0.83
0.560,0.82
0.561,0.83
0.565,0.77
0.567,0.84
0.569,0.8
0.569,0.82
0.571,0.82
0.576,0.81
0.579,0.37
0.582,0.84
0.588,0.81
0.589,0.82
0.595,0.56
0.596,0.84
0.598,0.85
0.600,0.83
0.602,0.8
0.610,0.84
0.622,0.84
0.626,0.79
0.629,0.85
0.641,0.85
